timestamp,temperature,light,airquality_raw,sound,humidity,dust
2015-03-07 00:00,36.1412213949908,0,31.3398494035491,1931.70332329063,40.3638707124775,1753.95839948397
2015-03-07 01:00,35.594746307614,0,27.9368920295391,1914.19998726763,41.0295203081232,1765.42142382862
2015-03-07 02:00,35.4162685973185,0,27.6212901119012,1967.17799597789,42.3211325531904,1695.66200191242
2015-03-07 03:00,34.8707515144086,0,26.071182588388,1903.40340203275,44.8233330505942,1680.59489660829
2015-03-07 04:00,33.8073611800893,0,25.9464318083871,1857.73273746178,48.8280296141589,1760.532703987
2015-03-07 05:00,33.6801981181586,0,27.5936258247114,1916.67043945333,51.1588194511385,1668.19087852778
2015-03-07 06:00,33.2945750661376,0,27.2306205368705,1921.29396483146,53.5197972629223,1774.13480577871
2015-03-07 07:00,33.1845920358828,0,26.6799313307465,1935.21471071199,53.6424479782496,1807.47777257364
2015-03-07 08:00,33.0627064741767,0,26.7656615336922,2014.07767388831,53.7803417645082,1747.92790977684
2015-03-07 09:00,33.1380003330003,6.53424908424908,26.4372557009554,1908.91759010683,53.9659962721747,1787.9271688039
2015-03-07 10:00,33.7105167578585,17.3395564048058,27.2179209164663,1951.67691073845,52.7393662890818,1820.09888888381
2015-03-07 11:00,33.9859578500203,33.7884055759056,27.7640300671551,1996.46497252747,52.3994279100529,1888.82299576465
2015-03-07 12:00,34.3131696108902,48.1445573435279,26.4694113620584,1924.7903745492,51.4029273145156,1809.6086653049
2015-03-07 13:00,35.0490456056624,59.8550499218977,26.6747503050492,1973.03562180573,49.2908187781421,1758.83759665561
2015-03-07 14:00,35.894243585362,47.5318607136041,28.5298013694395,1854.83404899194,48.0580160184601,1835.44227970829
2015-03-07 15:00,36.3948330026455,49.1914961013645,28.0911445279866,2029.8240636313,45.9361774227235,1865.66517337615
2015-03-07 16:00,36.644020627313,96.1782997854399,28.0069804013496,1924.17734107997,44.448623837785,1784.19616859118
2015-03-07 17:00,36.8989584203564,304.629810637705,26.1490897382345,1860.75211988304,42.6074429128376,1809.52856768658
2015-03-07 18:00,36.4644995791246,48.0776554001554,24.9246325433825,1881.81288137788,43.5181894586895,1791.86441297591
2015-03-07 19:00,35.2631455404676,9.05778488206877,24.7694412677996,1915.11557456492,44.5053018802442,1769.08315163152
2015-03-07 20:00,35.2127526068703,3.05359686609687,26.2101463623522,1873.20013556705,44.2317805635269,1786.02063933309
2015-03-07 21:00,33.934313428774,0,26.539866459077,1848.95771423508,47.7609762854105,1857.39349462482
2015-03-07 22:00,32.4432838274199,0,25.0330485078647,1833.04571961263,52.6622800626661,1831.69154763925
2015-03-07 23:00,32.6811351611352,0,25.4942400034176,1865.8650689707,52.0887432941013,1814.92647178649
2015-03-08 00:00,33.0329808714042,0,26.113916580178,1850.82347327179,52.5316394499221,1725.16319948279
2015-03-08 01:00,33.0625,0,26,1989,52.325,1684.640625
2015-03-09 11:00,33.9641369047619,48.6478365384615,29.2077037545788,1855.52220695971,54.7926682692308,2116.97307692308
2015-03-09 12:00,34.4593126921388,62.08069828722,30.3352657004831,2132.91427316645,53.7871256038647,1994.23923034695
2015-03-09 13:00,35.1235575475249,58.5296615220528,30.1325153107762,1905.60877238703,53.1376240365914,1880.27874402047
2015-03-09 14:00,35.6842878363467,45.927120787709,30.1751370851371,1982.81657584246,52.401115355233,1834.97056179442
2015-03-09 15:00,35.9124547940098,32.8513100934154,30.1744454110483,1989.11237183869,52.4025844570103,2229.58743377038
2015-03-09 16:00,35.5962483465608,31.5192956349206,32.4284722222222,2009.03921957672,53.808394510582,1953.18319212963
2015-03-09 17:00,35.4473514364423,15.8530303030303,31.9182605273514,1969.79346713892,52.820572609209,1497.97585192837
2015-03-09 18:00,34.89884644767,9.81818181818182,33.0927552839318,1938.47150496562,53.6930685001273,1853.40980952381
2015-03-09 19:00,33.8091392182696,8.76877470355731,34.3990169251039,1943.53132495524,55.7447926590318,1957.74304261258
2015-03-09 20:00,33.0324136828644,9.06755571793935,35.7455508531915,1893.21581144535,58.5265371317609,1953.90636218521
2015-03-09 21:00,32.9936156633757,0,33.109380778034,1982.88370068184,59.1779031878568,1981.94756490992
2015-03-09 22:00,32.7616840913716,0,29.5513665188298,1965.84699657641,59.4671319713783,1816.39379638682
2015-03-09 23:00,33.0446756231098,0,30.5274318968069,1970.01874600059,59.1945102958688,1787.2235700492
2015-03-10 00:00,34.1093571228081,0,32.0154508901518,1887.28111603973,57.3781138160086,1806.95970585761
2015-03-10 01:00,34.2250563141923,0,32.859170751634,1896.76334033613,56.5217714169001,1768.11036283263
2015-03-10 02:00,34.1763800276091,0,32.3267838044309,1872.25211129428,56.5347633001101,1741.31262430661
2015-03-10 03:00,34.0140360449735,0,31.6053231014628,1814.30987005913,56.6346385776533,1822.88406441604
2015-03-10 04:00,33.9362690631808,0,30.9812703846036,1834.3412939797,56.1258809615986,1730.03298255431
2015-03-10 05:00,34.0751283385555,0,30.7004260268007,1925.02284739983,56.6589775679705,1732.67812076833
2015-03-10 06:00,33.9696160130719,0,30.1074463118581,1898.16596638655,56.7809138655462,1873.241035831
2015-03-10 07:00,33.8717616959064,0,32.5766981556455,1817.52654820813,57.124886142123,1816.8585782726
2015-03-10 08:00,33.7262921640766,0,31.3904473106873,1915.48802163036,57.3458746460798,1860.99934316434
2015-03-10 09:00,33.5420180976431,5.22991822991823,28.8448241025544,1867.71602269563,57.2101982465634,1728.53468156186
2015-03-10 10:00,32.9755789726842,12.4897604137349,26.8834776381313,1891.9421114432,57.9625923305925,2021.74611663592
