Timestamp,Temperature,Light,Pollution_Level,Sound,Humidity,Dust,Bus_per_hour,Avg_Bus_Speed
2015-01-25 00:00,35.7075766283525,0,37.7934865900383,1601.6091954023,38.0985632183908,119.868995210728,3,31
2015-01-25 01:00,35.6865708812261,0,35.0092911877395,1595.12222222222,38.827183908046,111.550690613027,1,5
2015-01-25 02:00,35.6103448275862,0,33.7754789272031,1589.99042145594,38.6436685823755,112.85608045977,,
2015-01-25 03:00,35.5692662835249,0,32.9944444444444,1606.95639846743,38.5394540229885,116.078957088123,,
2015-01-25 04:00,35.4724018199234,0,32.7192768199234,1596.21302681992,38.6624305555555,125.550101772031,,
2015-01-25 05:00,35.362509578544,0,32.0833333333333,1571.71302681992,38.8283333333333,100.862038314176,,
2015-01-25 06:00,35.2453017241379,0,32.511398467433,1573.39013409962,38.8,125.789644157088,2,40
2015-01-25 07:00,35.1460057471265,0,34.3861111111111,1593.5367816092,38.8266666666667,128.703026819923,5,7
2015-01-25 08:00,35.0024922723823,11.7228927203065,35.3793103448276,1567.55555211812,38.8745977011494,111.90027295314,9,17
2015-01-25 09:00,34.8785207396302,114.661222513743,36,1647.87120189905,38.6416666666667,118.961137118941,11,4
2015-01-25 10:00,34.7912931034483,151.747318007663,35.9355363984674,1625.59578544061,39.1408524904215,110.65517816092,12,7
2015-01-25 11:00,34.7045715502037,245.266453810132,36.3257716049383,1625.08115003345,39.5891098035638,110.756596439214,7,10
2015-01-25 12:00,34.8081302681992,341.347509578544,40.5214559386973,1634.30674329502,39.7588122605364,115.417003448276,14,24
2015-01-25 13:00,35.2407396764581,444.098415856174,43.8502128565347,1651.66320856666,39.4704491272882,109.856105814258,10,5
2015-01-25 14:00,35.8997509578544,579.597222222222,41.9328544061303,1666.06513409962,38.6985153256705,121.707407088123,10,4
2015-01-25 15:00,36.6217049808429,608.791283524904,42.8473180076628,1677.47777777778,38.1983333333333,112.352018199234,6,4
2015-01-25 16:00,37.4166666666667,953.029214559387,43.7015325670498,1693.76015325671,37.6511781609195,118.969937739464,13,3
2015-01-25 17:00,38.492779988211,1376.15221780136,42.5391909814324,1715.65673445329,36.4604472443266,109.896422340112,6,2
2015-01-25 18:00,39.1764655172414,1347.06044061303,40.8945402298851,1724.15440613027,36.1113409961686,119.347061302682,9,5
2015-01-25 19:00,39.5062191358025,1768.36010536398,38.5059493401447,1726.08320561941,34.9097972541507,108.797987228608,6,4
2015-01-25 20:00,39.5379365079365,922.719906951286,36.8779802955665,1707.49581280788,34.0379674329502,108.631485727969,8,6
2015-01-25 21:00,39.2602785145889,204.481999705275,35.5977748305335,1692.57827880931,34.2753558797524,116.183493147657,10,18
2015-01-25 22:00,38.6518826628353,0,33.1235632183908,1644.150651341,33.7576843869732,103.220326388889,7,6
2015-01-25 23:00,38.5084770114943,7.65747126436782,33.7909003831418,1662.45440613027,33.1040325670498,105.622048850575,5,16
2015-01-26 00:00,38.2911590038314,0,34.9239258347017,1644.0126272578,33.4829214559387,110.434249493706,1,27
2015-01-26 01:00,38.1324521072797,0,36.1521791187739,1661.98783524904,33.9011230842912,109.552890565134,,
2015-01-26 02:00,38.0019444444444,0,36.9793821839081,1639.03074712644,34.0926724137931,105.156238266283,,
2015-01-26 03:00,37.8388745210728,0,36.6312021072797,1625.65134099617,33.9370234674329,107.804596024904,,
2015-01-26 04:00,37.6757016283525,0,36.0740900383142,1643.23093869732,34.173898467433,101.864784482759,,
2015-01-26 05:00,37.5304501915709,0,36,1630.77816091954,34.4825670498084,104.954896551724,2,49
2015-01-26 06:00,37.3872006704981,0,35.7620450191571,1615.57643678161,34.7740229885057,109.316286877395,4,27
2015-01-26 07:00,37.2302873563218,0,35.1094827586207,1623.56647509579,34.9483908045977,112.718554118774,12,3
2015-01-26 08:00,37.0530651340996,19.161632725304,35,1627.95908295852,35.059375,113.012771353906,15,6
2015-01-26 09:00,36.937337164751,132.546072796935,35.7246647509579,1641.76551724138,35.1862835249042,122.044243295019,15,5
2015-01-26 10:00,36.8136460727969,204.419506704981,43.8707662835249,1687.46327586207,35.3047030651341,132.259385632184,10,6
2015-01-26 11:00,36.7960320881226,285.05,43.7978927203065,1678.87653256705,36.2112691570881,141.677357758621,15,3
2015-01-26 12:00,37.0056417624521,409.06101532567,44.5219348659004,1655.85823754789,37.0084578544061,116.808411877395,21,9
2015-01-26 13:00,37.2738888888889,483.711015325671,44.0513409961686,1691.69501915709,37.8825478927203,134.035445402299,15,2
2015-01-26 14:00,37.5451149425287,587.78623506874,43.1732026143791,1661.52731575389,38.1853887762001,112.002041356773,17,0
2015-01-26 15:00,37.8673767274126,720.360834192946,40.1512894193929,1679.40488423879,38.0286781609195,109.431832285424,19,4
2015-01-26 16:00,38.5056307471264,882.597140804598,42.1139894636015,1673.66712643678,37.1608108237548,97.5048842911877,13,0
2015-01-26 17:00,39.3840996168582,1361.28093869732,43.9679118773946,1706.50268199234,35.992030651341,93.7034329501916,13,4
2015-01-26 18:00,39.8407950191571,765.242720306514,43.0768199233717,1703.3275862069,34.9391570881226,120.805826628353,13,5
2015-01-26 19:00,39.2982567049808,527.726724137931,38.1168582375479,1728.47509578544,35.3222605363985,114.795512452107,14,9
2015-01-26 20:00,38.8883289124668,63.9080459770115,33.6736590038314,1661.07680518715,35.1306896551724,113.805147362216,13,8
2015-01-26 21:00,38.7173659003832,16.4459770114943,35.1681992337165,1690.58965517241,35.5172796934866,111.088100574713,12,3
2015-01-26 22:00,38.4963409961686,0,31.42969348659,1617.04061302682,35.9492337164751,100.24558908046,10,3
